,stopid,stopname,geometry
1437,357963.0,Vermont Ave & 76th St (Northbound),POINT (-118.2914900780001 33.97135864700008)
1449,358091.0,Vermont Ave & 74th St (Southbound),POINT (-118.29180657900008 33.972424129000075)
1416,357725.0,Main St & 76th St (Southbound),POINT (-118.27399939300004 33.97123074400005)
1470,358313.0,Main St & 76th St (Northbound),POINT (-118.27383175500006 33.971674512000085)
1415,357713.0,Main St & Florence Ave (Southbound),POINT (-118.27400073400008 33.974278124000115)
96,356051.0,Florence Ave & Main St (Eastbound),POINT (-118.27412948000006 33.974600651000095)
97,356059.0,Florence Ave & San Pedro St (Eastbound),POINT (-118.26976552600007 33.97461955700007)
132,356315.0,Florence Ave & Main St (Westbound),POINT (-118.27369496200009 33.97478304400008)
131,356308.0,Florence Ave & San Pedro St (Westbound),POINT (-118.2693819700001 33.9748008390001)
1471,358327.0,Main St & Florence Ave (Northbound),POINT (-118.27384248400006 33.97517674700007)
1414,357702.0,Main St & 68th St (Southbound),POINT (-118.27400341600007 33.977478868000084)
1472,358336.0,Main St & 68th St (Northbound),POINT (-118.27384650700009 33.9777824760001)
92,356013.0,Hoover St & 68th St (Southbound),POINT (-118.28715831000005 33.977853652000114)
136,356346.0,Hoover St & 68th St (Northbound),POINT (-118.28699201300009 33.978537600000074)
1409,357657.0,Gage Ave & Hoover St (Eastbound),POINT (-118.2865266500001 33.98226085200006)
1410,357664.0,Gage Ave & Figueroa St (Eastbound),POINT (-118.28299284000008 33.98230088600011)
1411,357675.0,Gage Ave & Broadway (Eastbound),POINT (-118.27858597000011 33.98230755900008)
1476,358373.0,Gage Ave & Figueroa (Westbound),POINT (-118.28243762300008 33.98243878100008)
1475,358364.0,Gage Ave & Broadway (Westbound),POINT (-118.2780522110001 33.982456574000054)
91,356000.0,Hoover St & Gage Ave (Southbound),POINT (-118.28712612400005 33.982598917000104)
1477,358385.0,Hoover St & Gage Ave (Northbound),POINT (-118.28696653200005 33.98314604600009)
137,358385.0,Hoover St & Gage Ave (Northbound),POINT (-118.28696653200005 33.98314604600009)
1438,357969.0,Vermont Ave & 74th St (Northbound),POINT (-118.29146325600009 33.97297577200007)
1448,358086.0,Vermont Ave & Florence Ave (Southbound),POINT (-118.29178378000006 33.97409350500008)
1439,357977.0,Vermont Ave & Florence Ave (Northbound),POINT (-118.29150483000006 33.97513670900006)
1447,358069.0,Vermont Ave & 66th St (Southbound),POINT (-118.2918038960001 33.9787133130001)
1440,357993.0,Vermont Ave & 66th St (Northbound),POINT (-118.2914766670001 33.97964080300009)
1446,358054.0,Vermont Ave & Gage Ave (Southbound),POINT (-118.29159736600008 33.98245212600009)
1441,358005.0,Vermont Ave & Gage Ave (Northbound),POINT (-118.29139754200008 33.982553323000076)
1445,358043.0,Vermont Ave & 60th St (Southbound),POINT (-118.2915638390001 33.98559251300006)
1442,358010.0,Vermont Ave & 60th St (Northbound),POINT (-118.29142034100012 33.9856670180001)
1443,358020.0,Vermont Ave & 59th St (Northbound),POINT (-118.29141497600004 33.98802890200008)
1408,357647.0,Hoover St & 62nd St (Southbound),POINT (-118.28710734800005 33.9833484380001)
1478,358389.0,Hoover St & 61st St (Northbound),POINT (-118.28696519100009 33.984057919000094)
1479,358396.0,Hoover St & 59th Pl (Northbound),POINT (-118.28696385000006 33.9861918870001)
138,358396.0,Hoover St & 59th Pl (Northbound),POINT (-118.28696385000006 33.9861918870001)
