Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060377002005","Block Group 5, Census Tract 7002, Los Angeles County, California","ACSSF","ca","150","00","0021902",,,,,"06","037",,,"700200","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377002005","Block Group 5",,,,1112,20724.23,0.0536570053606426
"060377002006","Block Group 6, Census Tract 7002, Los Angeles County, California","ACSSF","ca","150","00","0021903",,,,,"06","037",,,"700200","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377002006","Block Group 6",,,,1383,22866.99,0.0604802029970795
"060377003001","Block Group 1, Census Tract 7003, Los Angeles County, California","ACSSF","ca","150","00","0021904",,,,,"06","037",,,"700300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377003001","Block Group 1",,,,1106,15695.69,0.0704651913445159
"060377003002","Block Group 2, Census Tract 7003, Los Angeles County, California","ACSSF","ca","150","00","0021905",,,,,"06","037",,,"700300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377003002","Block Group 2",,,,1220,19354.67,0.0630338827824685
"060377003003","Block Group 3, Census Tract 7003, Los Angeles County, California","ACSSF","ca","150","00","0021906",,,,,"06","037",,,"700300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377003003","Block Group 3",,,,1688,26402.12,0.063934273054547
"060377003004","Block Group 4, Census Tract 7003, Los Angeles County, California","ACSSF","ca","150","00","0021907",,,,,"06","037",,,"700300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377003004","Block Group 4",,,,1642,44393.46,0.036987430057591
"060377004001","Block Group 1, Census Tract 7004, Los Angeles County, California","ACSSF","ca","150","00","0021908",,,,,"06","037",,,"700400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377004001","Block Group 1",,,,1968,24509.16,0.0802965110263059
"060377004002","Block Group 2, Census Tract 7004, Los Angeles County, California","ACSSF","ca","150","00","0021909",,,,,"06","037",,,"700400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377004002","Block Group 2",,,,432,4716.493,0.0915934745643609
"060377004003","Block Group 3, Census Tract 7004, Los Angeles County, California","ACSSF","ca","150","00","0021910",,,,,"06","037",,,"700400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377004003","Block Group 3",,,,1655,10139.76,0.163218902944724
"060377004004","Block Group 4, Census Tract 7004, Los Angeles County, California","ACSSF","ca","150","00","0021911",,,,,"06","037",,,"700400","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377004004","Block Group 4",,,,720,4162.378,0.172978021519791
"060377005011","Block Group 1, Census Tract 7005.01, Los Angeles County, California","ACSSF","ca","150","00","0021912",,,,,"06","037",,,"700501","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377005011","Block Group 1",,,,1647,16930.85,0.0972780568867501
"060377005012","Block Group 2, Census Tract 7005.01, Los Angeles County, California","ACSSF","ca","150","00","0021913",,,,,"06","037",,,"700501","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377005012","Block Group 2",,,,1129,27493.74,0.0410638968211436
"060377005013","Block Group 3, Census Tract 7005.01, Los Angeles County, California","ACSSF","ca","150","00","0021914",,,,,"06","037",,,"700501","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377005013","Block Group 3",,,,1349,14609.63,0.0923363351490432
"060377005021","Block Group 1, Census Tract 7005.02, Los Angeles County, California","ACSSF","ca","150","00","0021915",,,,,"06","037",,,"700502","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377005021","Block Group 1",,,,1547,17216.58,0.0898552425725525
"060377005022","Block Group 2, Census Tract 7005.02, Los Angeles County, California","ACSSF","ca","150","00","0021916",,,,,"06","037",,,"700502","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377005022","Block Group 2",,,,1654,21617.11,0.0765134819157463
"060377005023","Block Group 3, Census Tract 7005.02, Los Angeles County, California","ACSSF","ca","150","00","0021917",,,,,"06","037",,,"700502","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377005023","Block Group 3",,,,895,31691.01,0.0282414435897
"060377006001","Block Group 1, Census Tract 7006, Los Angeles County, California","ACSSF","ca","150","00","0021918",,,,,"06","037",,,"700600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377006001","Block Group 1",,,,975,2531.643,0.385125336488045
"060377006002","Block Group 2, Census Tract 7006, Los Angeles County, California","ACSSF","ca","150","00","0021919",,,,,"06","037",,,"700600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377006002","Block Group 2",,,,951,3436.517,0.276733714596361
"060377006003","Block Group 3, Census Tract 7006, Los Angeles County, California","ACSSF","ca","150","00","0021920",,,,,"06","037",,,"700600","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377006003","Block Group 3",,,,867,2620.326,0.330874892084442
"060377006004","Block Group 4, Census Tract 7006, Los Angeles County, California","ACSSF","ca","150","00","0021921",,,,,"06","037",,,"700600","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377006004","Block Group 4",,,,1932,2785.853,0.69350398534665
"060377006005","Block Group 5, Census Tract 7006, Los Angeles County, California","ACSSF","ca","150","00","0021922",,,,,"06","037",,,"700600","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377006005","Block Group 5",,,,761,1499.085,0.507642892553942
"060377007001","Block Group 1, Census Tract 7007, Los Angeles County, California","ACSSF","ca","150","00","0021923",,,,,"06","037",,,"700700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377007001","Block Group 1",,,,1170,2170.613,0.539018327498042
"060377007002","Block Group 2, Census Tract 7007, Los Angeles County, California","ACSSF","ca","150","00","0021924",,,,,"06","037",,,"700700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377007002","Block Group 2",,,,878,2292.667,0.382960075490697
"060377007003","Block Group 3, Census Tract 7007, Los Angeles County, California","ACSSF","ca","150","00","0021925",,,,,"06","037",,,"700700","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377007003","Block Group 3",,,,1531,3470.141,0.441192391624981
"060377008011","Block Group 1, Census Tract 7008.01, Los Angeles County, California","ACSSF","ca","150","00","0021926",,,,,"06","037",,,"700801","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377008011","Block Group 1",,,,995,20079.62,0.0495527392404907
"060377008012","Block Group 2, Census Tract 7008.01, Los Angeles County, California","ACSSF","ca","150","00","0021927",,,,,"06","037",,,"700801","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377008012","Block Group 2",,,,1355,8377.896,0.161735112286235
"060377008013","Block Group 3, Census Tract 7008.01, Los Angeles County, California","ACSSF","ca","150","00","0021928",,,,,"06","037",,,"700801","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377008013","Block Group 3",,,,719,2866.632,0.25081699220228
"060377008014","Block Group 4, Census Tract 7008.01, Los Angeles County, California","ACSSF","ca","150","00","0021929",,,,,"06","037",,,"700801","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377008014","Block Group 4",,,,618,6205.849,0.09958347297362
"060377008021","Block Group 1, Census Tract 7008.02, Los Angeles County, California","ACSSF","ca","150","00","0021930",,,,,"06","037",,,"700802","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377008021","Block Group 1",,,,1665,12442.63,0.133814133501777
"060377008022","Block Group 2, Census Tract 7008.02, Los Angeles County, California","ACSSF","ca","150","00","0021931",,,,,"06","037",,,"700802","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377008022","Block Group 2",,,,1136,16002.88,0.0709872014851034
"060377008023","Block Group 3, Census Tract 7008.02, Los Angeles County, California","ACSSF","ca","150","00","0021932",,,,,"06","037",,,"700802","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377008023","Block Group 3",,,,1537,25698.41,0.0598091574169456
"060377009011","Block Group 1, Census Tract 7009.01, Los Angeles County, California","ACSSF","ca","150","00","0021933",,,,,"06","037",,,"700901","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US060377009011","Block Group 1",,,,657,7923.403,0.0829189169988432
